sex,unit,age,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 
F,NR,TOTAL,RO411	317250 e	319444 	322148 	324676 	327687 	330166 	332014 
F,NR,TOTAL,RO412	157263 e	158919 	161183 	163099 	165288 	167183 	168816 
F,NR,TOTAL,RO413	120850 e	122108 	123962 	126273 	128051 	129864 	131314 
F,NR,TOTAL,RO414	197011 e	199303 	202705 	206455 	209234 	212197 	214783 
F,NR,TOTAL,RO415	177080 e	178006 	179798 	181809 	183711 	185499 	186865 
F,NR,TOTAL,RO42	906572 e	910212 	914406 	919527 	925776 	930353 	933862 
F,NR,TOTAL,RO421	212826 e	213759 	214898 	216694 	218122 	219366 	220378 
F,NR,TOTAL,RO422	137554 e	138513 	140571 	142717 	144576 	146320 	147723 
F,NR,TOTAL,RO423	193510 e	195370 	198066 	200536 	203774 	206033 	208283 
F,NR,TOTAL,RO424	362682 e	362570 	360871 	359580 	359304 	358634 	357478 
F,NR,TOTAL,RS	3552066 	3570953 	3590852 	3611245 	3630114 	3649994 	3666896 
F,NR,TOTAL,RS1	1841588 	1844404 	1848069 	1851759 	: 	: 	: 
F,NR,TOTAL,RS11	895291 	893108 	891244 	889766 	: 	: 	: 
F,NR,TOTAL,RS110	895291 	893108 	891244 	889766 	: 	: 	: 
F,NR,TOTAL,RS12	946297 	951296 	956825 	961993 	: 	: 	: 
F,NR,TOTAL,RS121	86680 	87815 	88993 	90130 	: 	: 	: 
F,NR,TOTAL,RS122	140428 	141354 	142351 	143363 	: 	: 	: 
F,NR,TOTAL,RS123	320472 	320126 	319997 	319781 	: 	: 	: 
F,NR,TOTAL,RS124	68736 	69539 	70326 	71065 	: 	: 	: 
F,NR,TOTAL,RS125	91925 	92465 	93085 	93559 	: 	: 	: 
F,NR,TOTAL,RS126	88000 	88948 	89959 	90869 	: 	: 	: 
F,NR,TOTAL,RS127	150056 	151049 	152114 	153226 	: 	: 	: 
F,NR,TOTAL,RS2	1710478 	1726549 	1742783 	1759486 	: 	: 	: 
F,NR,TOTAL,RS21	962939 	971190 	979503 	988166 	: 	: 	: 
F,NR,TOTAL,RS211	133162 	134637 	136138 	137469 	: 	: 	: 
F,NR,TOTAL,RS212	81290 	81959 	82785 	83657 	: 	: 	: 
F,NR,TOTAL,RS213	139223 	140662 	141968 	143491 	: 	: 	: 
F,NR,TOTAL,RS214	100565 	101414 	102279 	103287 	: 	: 	: 
F,NR,TOTAL,RS215	100715 	102047 	103160 	104467 	: 	: 	: 
F,NR,TOTAL,RS216	111680 	112844 	114206 	115551 	: 	: 	: 
F,NR,TOTAL,RS217	153211 	153528 	153903 	154451 	: 	: 	: 
F,NR,UNK,AL	0 	0 	0 	0 	0 	0 	0 
F,NR,UNK,AL0	0 	0 	0 	0 	0 	0 	0 
F,NR,UNK,AL01	0 	0 	0 	0 	0 	0 	0 
F,NR,UNK,AL011	0 	0 	0 	0 	0 	0 	0 
F,NR,UNK,AL012	0 	0 	0 	0 	0 	0 	0 
F,NR,Y25-29,ITI22	4981 	5086 b	5262 	5349 	5504 	5616 	5637 
F,NR,Y25-29,ITI3	36217 	37033 b	37982 	38219 	38835 	39508 	40132 
F,NR,Y25-29,ITI31	8392 	8579 b	8860 	8861 	9055 	9145 	9221 
F,NR,Y25-29,ITI32	10879 	11103 b	11228 	11211 	11456 	11648 	11898 
F,NR,Y25-29,ITI33	7743 	7869 b	8209 	8259 	8325 	8482 	8685 
F,NR,Y25-29,ITI34	5021 	5187 b	5314 	5407 	5409 	5560 	5603 
F,NR,Y25-29,ITI35	4182 	4295 b	4371 	4481 	4590 	4673 	4725 
F,NR,Y25-29,ITI4	142128 	144792 b	151409 	152954 	153883 	155920 	157560 
F,NR,Y25-29,ITI41	7312 	7566 b	8082 	8203 	8496 	8607 	8787 
F,NR,Y25-29,ITI42	3751 	3843 b	3998 	4018 	4170 	4247 	4334 
F,NR,Y25-29,ITI43	103335 	104762 b	109174 	110264 	110517 	111975 	112984 
F,NR,Y25-29,ITI44	14949 	15340 b	16254 	16359 	16307 	16460 	16584 
F,NR,Y25-29,ITI45	12781 	13281 b	13901 	14110 	14393 	14631 	14871 
F,NR,Y25-29,LI	1141 	1146 	1108 	1111 	1128 	1113 	1134 
